 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101270	O/Okr. w Krakowie                                                                                                                           	NBP O/Okr.     	Krak˘w                        	ul.Basztowa 20                          	30-960	Krak˘w                        	553   	-     	12          	618-56-00           	                    	421-63-06           	421-63-15           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	maopolskie           	Krak˘w                   	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101339	O/Okr. w Lublinie                                                                                                                           	NBP O/Okr.     	Lublin                        	ul.Chopina 6                            	20-026	Lublin                        	36    	-     	81          	531-75-00           	532-21-17           	532-28-76           	532-44-09           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	lubelskie             	Lublin                   	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101371	O/Okr. w ťodzi                                                                                                                              	NBP O/Okr.     	ť˘d«                          	al.Kociuszki 14                        	90-950	ť˘d«                          	142   	-     	42          	635-77-00           	635-77-05           	632-97-70           	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	˘dzkie               	ť˘d«                     	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101397	O/Okr. w Olsztynie                                                                                                                          	NBP O/Okr.     	Olsztyn                       	al.Marszaka J.Pisudskiego 11/17       	10-959	Olsztyn                       	-     	-     	89          	527-05-01           	527-20-72           	527-08-51           	539-65-71           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	warmiäsko-mazurskie   	Olsztyn                  	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101401	O/Okr. w Opolu                                                                                                                              	NBP O/Okr.     	Opole                         	ul.Damrota 2b                           	45-064	Opole                         	335   	45-950	77          	401-24-00           	                    	401-24-09           	401-25-59           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	opolskie              	Opole                    	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101469	O/Okr. w Poznaniu                                                                                                                           	NBP O/Okr.     	Poznaä                        	al.Marcinkowskiego 12                   	60-967	Poznaä                        	510   	-     	61          	851-42-00           	851-42-62           	852-37-88           	851-45-00           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	wielkopolskie         	Poznaä                   	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101528	O/Okr. w Rzeszowie                                                                                                                          	NBP O/Okr.     	Rzesz˘w                       	ul.3 Maja 12                            	35-959	Rzesz˘w                       	6     	-     	17          	860-61-00           	852-19-40           	852-19-39           	852-19-27           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	podkarpackie          	Rzesz˘w                  	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101599	O/Okr. w Szczecinie                                                                                                                         	NBP O/Okr.     	Szczecin                      	ul.Pk.T.A.Starzyäskiego 1              	70-952	Szczecin                      	666   	-     	91          	434-66-62           	434-14-01           	433-46-21           	433-26-04           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	zachodniopomorskie    	Szczecin                 	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101674	O/Okr. we Wrocawiu                                                                                                                         	NBP O/Okr.     	Wrocaw                       	ul.Ofiar Owi©cimskich 41/43            	50-950	Wrocaw                       	1470  	-     	71          	370-80-00           	370-83-04           	344-13-18           	344-65-45           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	dolnolĄskie          	Wrocaw                  	                              	                                        	      	                              	      	      	  0	10100000
 101	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101704	O/Okr. w Zielonej G˘rze                                                                                                                     	NBP O/Okr.     	Zielona G˘ra                  	al.Wojska Polskiego 25                  	65-950	Zielona G˘ra                  	154   	65-001	68          	323-00-44           	323-00-33           	323-00-29           	323-00-14           	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	lubuskie              	Zielona G˘ra             	                              	                                        	      	                              	      	      	  0	10100000
 102	Powszechna Kasa Oszcz©dnoci Bank Polski SA                                                                                                 	                                                                                                    	102, 144                                          	10200003	Departament Rozliczeä                                                                                                                       	PKO C-la       	Warszawa                      	ul.Puawska 15                          	02-515	Warszawa                      	-     	-     	22          	580-33-92           	                    	-                   	                    	1987-11-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10200003
 102	Powszechna Kasa Oszcz©dnoci Bank Polski SA                                                                                                 	                                                                                                    	102, 144                                          	10200016	Departament Rozliczeä - Centrala                                                                                                            	PKO C-inne     	Warszawa                      	ul.Puawska 15                          	02-515	Warszawa                      	-     	-     	22          	580-33-92           	                    	-                   	                    	1990-03-31	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10200003
 102	Powszechna Kasa Oszcz©dnoci Bank Polski SA                                                                                                 	                                                                                                    	102, 144                                          	10200029	Centrum Kart Kredytowych i Operacji Kartowych                                                                                               	PKO C-inne     	Warszawa                      	ul.W˘lczyäska 133                       	01-919	Warszawa                      	-     	-     	22          	639-60-72           	                    	639-60-74           	                    	1998-01-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10200003
 102	Powszechna Kasa Oszcz©dnoci Bank Polski SA                                                                                                 	                                                                                                    	102, 144                                          	10200032	Departament Produkt˘w Korporacyjnych - Patnoci Masowe 1                                                                                   	PKO C-inne     	Warszawa                      	ul.Puawska 15                          	00-975	Warszawa                      	-     	-     	22          	521-98-56           	                    	521-72-87           	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10200003
 102	Powszechna Kasa Oszcz©dnoci Bank Polski SA                                                                                                 	                                                                                                    	102, 144                                          	10200045	Departament Produkt˘w Korporacyjnych - Patnoci Masowe 2                                                                                   	PKO C-inne     	Warszawa                      	ul.Puawska 15                          	00-975	Warszawa                      	-     	-     	22          	521-98-56           	                    	521-72-87           	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10200003
 102	Powszechna Kasa Oszcz©dnoci Bank Polski SA                                                                                                 	                                                                                                    	102, 144                                          	10200058	Departament Produkt˘w Korporacyjnych - Patnoci Masowe 3                                                                                   	PKO C-inne     	Warszawa                      	ul.Puawska 15                          	00-975	Warszawa                      	-     	-     	22          	521-98-56           	                    	521-72-87           	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10200003
 102	Powszechna Kasa Oszcz©dnoci Bank Polski SA                                                                                                 	                                                                                                    	102, 144                                          	10200061	Departament Produkt˘w Korporacyjnych - Patnoci Masowe 4                                                                                   	PKO C-inne     	Warszawa                      	ul.Puawska 15                          	00-975	Warszawa                      	-     	-     	22          	521-98-56           	                    	521-72-87           	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10200003
 102	Powszechna Kasa Oszcz©dnoci Bank Polski SA                                                                                                 	                                                                                                    	102, 144                                          	10200074	Departament Produkt˘w ZarzĄdzania —rodkami Finansowymi - Patnoci Masowe 5                                                                 	PKO C-inne     	Warszawa                      	ul.Puawska 15                          	00-975	Warszawa                      	-     	-     	22          	521-98-56           	                    	521-72-87           	                    	2010-03-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10200003
 102	Powszechna Kasa Oszcz©dnoci Bank Polski SA                                                                                                 	                                                                                                    	102, 144                                          	10201013	Oddzia 1 w Warszawie                                                                                                                       	PKO O.1        	Warszawa                      	ul.Sienkiewicza 12/14                   	00-944	Warszawa                      	19    	-     	22          	525-42-33           	                    	827-68-40           	                    	1949-01-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	mazowieckie           	Warszawa                 	                              	                                        	      	                              	      	      	  0	10200003
